,filename,sentence,PiPP
5491154,survived-revived-2.epub.txt,"One of the guards pushes her forward, and she gasps with surprise as she falls to her knees.",F
3581722,the-symbolon-book-two-of-the-sibylline-trilogy-oracles-serie.epub.txt,He pulled back and shrugged as his arms closed around her.,F
1648784,the-awakener.epub.txt,The sick feeling came back as Micah and Damon disappeared through the tangled vines.,F
4379668,the-loved-and-the-lost-book-3-of-the-verona-trilogy.epub.txt,"""Although, you are misinformed as to the gender.",F
4593403,interpretation-of-the-twenty-ninth-part-of-the-holy-quran.epub.txt,"[‎114] 'Hell' describes the spiritual inner fire of regret, grief and shame that ignites within human spirits when they understand their loss and failure, finally realising their neglect of Al'lah and their failure to pursue the truth, as they forfeit sublime prestige.",F
1332645,skinny-thinking-for-men.epub.txt,"Just as it's perfectly happy to go on unhealthy crash diets to get a sleek body, the ego has no compunction about jumping into a punishing exercise regime rather than building up to it slowly with health in mind.",F
4939435,my-afterlife.epub.txt,I could feel the collar rub against my neck as he wrapped it around me.,F
2723590,the-jack-chambers-adventures-the-book-of-legends.epub.txt,"Grandad, weak as he was had Jack in the air, gleaming with joy.",AS
1686790,the-void-and-the-clouds.epub.txt,One might point to expansion as a function.,F
15459,the-catholic-digital-news-2016-10-08-special-issue-pope-fran.epub.txt,But there's a lesser-known side to the friar as well - a side that showed a deep reverence for the Eucharist and attentive care to the sacred vessels at Mass.,F
1865115,a-really-bad-idea.epub.txt,The break room door swings open as Christian saunters in.,F
3323732,the-rostical-guild-sceldrants-comet.epub.txt,"Nathan: ""You're _not_ treating them as equals if you have to act _differently_ towards them.""",F
2431833,hidden-dragon-the-dragon-of-unison-series-1.epub.txt,"Greeneyes spent the night, protecting him as best he could.",F
4670385,royal-marines-historical-time-line-volume-one-third-edition.epub.txt,"In 1815, HMS Zenobia and HMS Peruvian took the island to prevent it from being used as a staging post from which to rescue Napoleon Bonaparte from Saint Helena.",F
4747139,and-gulliver-returns-book-4-a-look-at-human-values.epub.txt,If AIDS or other sexually transmitted diseases are bad for a society we should use condoms as a contraceptive device.,F
1429838,heirs-of-the-magi-archives-cassies-journal-2016-part-two.epub.txt,";^)

For the record, no, we did not have advance warning of their engagement; though we knew they were meant to be together.",F
1082147,ava-delaney-lost-souls-volume-1.epub.txt,"He approached me, his gait awkward as his legs were stuck in a partial shift, which wasn't pretty.",F
4644233,the-blind-history-lady-presents-the-first-things-i-learned.epub.txt,"Business was good, so he hired a secretary, Miss Imogene Price (known to many of us as Gene) a girl five years his junior.",F
1998943,depot-on-track-heritage-destiny-legacy.epub.txt,Demons tend to hide behind emotional/psychological wounds and use them as entrance points.,F
3811402,embellishments.epub.txt,"They thanked me and I found myself telling them I would get them into the Arion for free the next night they found themselves with nothing to do, although I knew Mr. Moore, jolly as he was, would frown on this were he to find out.",F
4648655,trefoil.epub.txt,Lawrence Desmond turned pale as he rounded the corner into the weight area.,F
3011556,caught-in-the-neuse.epub.txt,He blushed as she stepped away.,F
250901,crimson-angel.epub.txt,"Lucia had to be Zander's girlfriend, whom Carmine had abducted and used as a bait to threaten Zander and eventually killed.",F
3955414,replace-2-guns-race-in-america-how-to-save-lives.epub.txt,Did Hollywood invent all of this as pure fiction and fantasy?,F
1269620,formerly-brandewyne.epub.txt,Grey looked up as her voice broke on the last word.,F
535750,heart-of-the-veldt.epub.txt,I want to help the planet heal._ The only way she could do that would be if she did as much research as possible for her entry-essay into the Figaro Academy for Higher Studies.,F
1292621,a-fallible-goddess-and-the-enduring-sorrow-journey-book-4.epub.txt,"_May it be that your life has known the last of sorrow, Arminda,'_ she thought and projected the heartfelt sentiment toward the intrepid woman, who she regarded as a living symbol of hope for this troubled world's future.",F
2571911,the-voice-of-time.epub.txt,"Below them, the Breach expanded as entire buildings collapsed inside it, the darkness eating through their foundations as if they were made of paper.",F
5696903,a-compendium-of-short-stories.epub.txt,"""Well, as long as you boys have made up your minds,"" said his father, Pratish.",F
1278794,the-paradox-series.epub.txt,"And Mrs. Hudson, as worried as she is, retires at three.",ASAS
4162824,rules-obsession.epub.txt,"****

Damian looked past his reflection in the mirror and watched, entranced, as _Goth girl_ walked up behind him and immediately began babbling, ""So Janice had to leave because her kiddo is sick.",F
4989529,dream-spell.epub.txt,"""Oh, April,"" Ian whispered as he reached up and held my face in his hands, wiping away the tears that fell down my cheeks with his thumbs.",F
1947132,leibowitz-concludes-book-10-of-13.epub.txt,"Journalist David Weigel, reporting on the incident, said Jones ""seemed to launch into public events as if flung from another universe.""",F
3511321,the-gobsmacked-goblin-caper.epub.txt,he said as the ring drifted toward her.,F
2959584,cyclopedia-of-philosophy.epub.txt,"If we construct a bridge in the ""right"" and ""good"" way, as we ""ought to"" \- it will survive.",F
3371945,the-omega-prince-the-kingdom-of-pacchia-book-1.epub.txt,"After a minute the sounds quieted and Aubrey waited, hardly daring to breath as soft footsteps approached him.",F
